math score,reading score,writing score,average_score,performance_level,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
72,72,74,72.66666666666667,C,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
69,90,88,82.33333333333333,B,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
90,95,93,92.66666666666667,A,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
47,57,44,49.333333333333336,E,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
76,78,75,76.33333333333333,B,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
71,83,78,77.33333333333333,B,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
88,95,92,91.66666666666667,A,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
40,43,39,40.666666666666664,E,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
64,64,67,65.0,C,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
38,60,50,49.333333333333336,E,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
58,54,52,54.666666666666664,D,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
40,52,43,45.0,E,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
65,81,73,73.0,C,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
78,72,70,73.33333333333333,C,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
50,53,58,53.666666666666664,D,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
69,75,78,74.0,C,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
88,89,86,87.66666666666667,A,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
18,32,28,26.0,E,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
46,42,46,44.666666666666664,E,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
54,58,61,57.666666666666664,D,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
66,69,63,66.0,C,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
65,75,70,70.0,C,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
44,54,53,50.333333333333336,D,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
69,73,73,71.66666666666667,C,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
74,71,80,75.0,B,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
73,74,72,73.0,C,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
69,54,55,59.333333333333336,D,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
67,69,75,70.33333333333333,C,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
70,70,65,68.33333333333333,C,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
62,70,75,69.0,C,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
69,74,74,72.33333333333333,C,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
63,65,61,63.0,C,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
56,72,65,64.33333333333333,C,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
40,42,38,40.0,E,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
97,87,82,88.66666666666667,A,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
81,81,79,80.33333333333333,B,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
74,81,83,79.33333333333333,B,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
50,64,59,57.666666666666664,D,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
75,90,88,84.33333333333333,B,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
57,56,57,56.666666666666664,D,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
55,61,54,56.666666666666664,D,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
58,73,68,66.33333333333333,C,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
53,58,65,58.666666666666664,D,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
59,65,66,63.333333333333336,C,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
50,56,54,53.333333333333336,D,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
65,54,57,58.666666666666664,D,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
55,65,62,60.666666666666664,C,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
66,71,76,71.0,C,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
57,74,76,69.0,C,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
82,84,82,82.66666666666667,B,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
53,55,48,52.0,D,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
77,69,68,71.33333333333333,C,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
53,44,42,46.333333333333336,E,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
88,78,75,80.33333333333333,B,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
